utterance,intent
오늘 날씨 정말 좋다!,일상
주말에 뭐 할 계획이야?,일상
점심 뭐 먹을지 추천해 줄래?,일상
요즘 스트레스가 너무 많아.,일상
어제 본 영화 진짜 재미있더라.,일상
"괜찮아, 걱정하지 마.",일상
퇴근하고 바로 집에 갈 거야.,일상
시간이 참 빠르네.,일상
커피 한 잔 할래?,일상
새로운 취미를 찾아봐야겠어.,일상
최근에 읽은 책 제목이 뭐야?,일상
갑자기 비가 오네.,일상
다음에 또 만나자.,일상
배가 너무 고파.,일상
이 노래 제목 좀 알려줘.,일상
요즘 건강은 좀 어때?,일상
아침 일찍 일어났어.,일상
여행 가고 싶다.,일상
조금 피곤한 것 같아.,일상
그 소식 들었어?,일상
오늘 저녁은 뭘 해 먹을까?,일상
산책하기 좋은 날씨다.,일상
무슨 일 있었어?,일상
좀 쉬어야겠어.,일상
기분 전환이 필요해.,일상
"와, 정말 대단하다!",일상
별일 없어?,일상
내일은 더 좋을 거야.,일상
저장 버튼을 눌렀는데 내용이 사라졌어요,버그리포트
로그인 시 '알 수 없는 오류' 메시지가 계속 떠요,버그리포트
페이지 로딩 속도가 갑자기 너무 느려졌습니다,버그리포트
이미지 파일 업로드 시 멈추고 진행이 안 돼요,버그리포트
특정 기능 사용 중 앱이 강제로 종료됩니다,버그리포트
알림 설정했는데 알림이 오지 않아요,버그리포트
지도에서 위치가 정확하게 표시되지 않는 오류가 있어요,버그리포트
결제 완료 후에도 주문 상태가 '결제 대기'로 남아있습니다,버그리포트
링크를 클릭해도 해당 페이지로 이동하지 않습니다,버그리포트
입력 창에 한글이 깨져서 보입니다,버그리포트
비밀번호 변경 시 에러코드가 뜨면서 실패합니다,버그리포트
검색 결과가 실제 내용과 일치하지 않습니다,버그리포트
새로고침을 해야만 최신 정보가 반영됩니다,버그리포트
모바일 환경에서 화면 레이아웃이 이상하게 겹쳐 보입니다,버그리포트
이메일 인증 메일이 스팸함에도 오지 않았습니다,버그리포트
댓글 작성 후 전송이 되지 않고 오류 팝업이 뜹니다,버그리포트
데이터베이스 연결에 문제가 있는 것 같습니다,버그리포트
동영상 재생이 중간에 끊기면서 버퍼링이 심합니다,버그리포트
계산 기능의 결과값이 잘못 나왔어요,버그리포트
회원 탈퇴 버튼이 아예 작동하지 않습니다,버그리포트
메모리 누수가 의심됩니다. 장시간 사용하면 속도가 느려져요,버그리포트
새로운 기능 추가 시 사용자 가이드를 제공해 주시면 좋겠습니다,제안
다크 모드 옵션을 도입해 주시면 눈이 편할 것 같습니다,제안
현재의 검색 기능을 필터 옵션으로 좀 더 세분화하는 게 어떨까요?,제안
자주 사용하는 메뉴는 상단에 고정하는 기능을 추가해 주세요,제안
데이터 백업 및 복원 기능을 사용자에게 직접 제공해 주세요,제안
여러 항목을 한 번에 선택해서 처리하는 일괄 기능을 원합니다,제안
다른 소셜 미디어 플랫폼과 연동 기능을 만들어 주세요,제안
UI 디자인을 좀 더 직관적이고 미니멀하게 개선하면 좋겠습니다,제안
오류 발생 시 상세한 로그 기록을 사용자에게 보여주는 기능을 추가하면 어떨까요?,제안
사용자가 직접 폰트 크기를 조절할 수 있게 해 주세요,제안
기존 기능을 커스터마이징할 수 있는 설정을 열어주세요,제안
앱 실행 속도를 최적화하는 방안을 고려해 주셨으면 합니다,제안
월별 이용 내역을 그래프로 시각화해서 보여주세요,제안
튜토리얼을 짧은 비디오 형태로 제공하는 것이 좋겠습니다,제안
AI 챗봇의 응답 속도를 향상시킬 수 있을까요?,제안
특정 키워드에 대한 알림 설정 기능을 추가해 주세요,제안
사용자가 직접 단축키를 설정할 수 있게 해 주시면 좋겠습니다,제안
다른 사용자에게 피드백을 보낼 수 있는 기능을 만들어 주세요,제안
제품 상세 설명에 비교 기능을 넣어주면 구매 결정에 도움이 될 것 같아요,제안
이 기능은 왜 이렇게 동작하는 건가요?,질문
환불 정책에 대해 자세히 설명해 주시겠어요?,질문
가장 가까운 서비스 센터 위치는 어디인가요?,질문
이 파일을 열기 위한 프로그램이 무엇인가요?,질문
어떻게 하면 회원가입을 완료할 수 있나요?,질문
다음 업데이트 예정일은 언제인가요?,질문
이 서비스는 무료로 이용 가능한가요?,질문
기술 지원팀에 연락하려면 어떤 번호로 전화해야 하나요?,질문
이 기능을 사용하기 위한 최소 시스템 요구사항은 무엇인가요?,질문
결제 수단을 변경하고 싶은데 절차가 어떻게 되나요?,질문
현재 제가 사용하고 있는 버전이 최신 버전인가요?,질문
이 상품의 재고는 남아있나요?,질문
데이터를 저장하는 방식이 궁금합니다,질문
비밀번호를 잊어버렸을 때 어떻게 재설정하나요?,질문
이용 약관에 동의하지 않으면 어떤 제약이 있나요?,질문
사진 용량은 최대 몇 MB까지 업로드할 수 있나요?,질문
현재 서버 상태는 안정적인가요?,질문
로그인 없이도 서비스를 이용할 수 있나요?,질문
이벤트 참여 방법 좀 알려주세요,질문
설정에서 어떤 옵션을 선택해야 이 기능을 활성화할 수 있나요?,질문
이 문제에 대한 해결책을 알려주세요,질문
서비스에 대해 궁금한 점이 있습니다,질문
이 기능의 이름은 무엇인가요?,질문
매우 만족스러운 경험이었습니다. 최고예요!,평가
덕분에 문제가 바로 해결되었어요. 친절한 안내 감사합니다.,평가
제품의 성능이 기대 이상으로 훌륭합니다.,평가
상담원의 응대가 빠르고 정확해서 좋았습니다.,평가
디자인이 깔끔하고 사용하기 편리하게 만들어졌네요.,평가
이 정도 가격에 이 품질이면 정말 훌륭합니다.,평가
전반적으로 괜찮은 서비스라고 생각합니다.,평가
"기대한 만큼은 아니지만, 쓸만은 합니다.",평가
무난하게 사용할 수 있는 수준이었습니다.,평가
특별히 좋지도 나쁘지도 않았습니다.,평가
응답 속도가 조금 느린 점만 빼면 괜찮습니다.,평가
평균적인 서비스 품질이라고 평가하고 싶습니다.,평가
이전 버전에 비해 크게 달라진 점을 모르겠습니다.,평가
가격 대비 성능은 평범한 것 같습니다.,평가
다른 경쟁사 서비스와 비슷한 수준입니다.,평가
배송이 너무 늦어져서 실망했습니다.,평가
