question,intent
엣지 AI와 클라우드 AI의 차이와 선택 기준은?,IT
퇴근길에 할 만한 영어표현 공부 알려줘,daily
API 버저닝 전략과 호환성 유지 방법은?,IT
Git 서브모듈과 서브트리 전략 비교해 주세요,coding
Git에서 rebase와 merge 차이를 예로 들어 설명해 주세요,coding
OSI 7계층 각각의 역할을 간단히 설명해 주세요 (예시 포함),IT
레이트 리미터를 구현하는 토큰 버킷 알고리즘 설명,IT
프론트엔드 번들 사이즈 줄이는 최적화 팁이 있나요?,coding
팀원 칭찬 멘트 예시 알려줘,daily
고객 데이터 접근 로그 보관 정책은 무엇인가요?,company
요즘 유행하는 취미 뭐야?,daily
분산 트레이싱(OpenTelemetry) 도입 절차와 예시,coding
출장 신청부터 정산까지 단계별 절차를 설명해 주세요,company
간단한 파티 게임 아이디어,daily
쿠버네티스에서 네트워크 폴리시의 역할은?,IT
Secret 관리 시 HashiCorp Vault 활용 방법은?,IT
장애 발생 시 포스트모템 작성 가이드가 있나요?,company
오늘 일정 간단히 정리해 줄래?,daily
Blue-Green 배포와 Canary 배포의 차이점은?,IT
교육비 지원 대상과 신청 방법을 알려주세요,company
신규 입사자 온보딩 일정과 제출 서류는?,company
"외부 보안 인증(ISO, SOC2) 관련 역할과 책임은?",company
인공지능 모델 평가 경쟁사 비교 자료를 모아줘,자료검색
CQRS 패턴의 구성과 적용 시점은?,IT
가볍게 만들 간식 레시피 있을까?,daily
사내 오픈소스 공개 절차와 검토 항목은?,company
사내 뉴스레터 발송 가이드와 구독 관리 방법은?,company
최신 마이크로서비스 관련 논문 찾아줘,자료검색
자바에서 NullPointerException이 나는 흔한 원인과 예방 방법은?,coding
모놀리식 대비 마이크로서비스의 트레이드오프는?,IT
BYOD 정책과 보안 요구사항은 무엇인가요?,company
고가용성 아키텍처 설계 시 단일 장애점을 줄이는 법은?,IT
보안 등급별 자료 반출 승인 절차가 궁금합니다,company
프론트엔드 모노레포 구성 시 pnpm workspace 설정법은?,coding
요즘 날씨 어때?,daily
정적 분석과 동적 분석의 차이를 설명해 주세요,IT
자격증 취득 지원 제도 요건과 한도는 어떻게 되나요?,company
오늘의 운세 느낌으로 한마디,daily
최신 양자컴퓨팅 관련 논문 찾아줘,자료검색
3분 스트레칭 루틴 알려줘,daily
데이터 스키마 진화(Schema Evolution) 다루는 방법은?,IT
