question,intent
엣지 AI와 클라우드 AI의 차이와 선택 기준은?,IT
퇴근길에 할 만한 영어표현 공부 알려줘,daily
API 버저닝 전략과 호환성 유지 방법은?,IT
Git 서브모듈과 서브트리 전략 비교해 주세요,coding
Git에서 rebase와 merge 차이를 예로 들어 설명해 주세요,coding
OSI 7계층 각각의 역할을 간단히 설명해 주세요 (예시 포함),IT
레이트 리미터를 구현하는 토큰 버킷 알고리즘 설명,IT
프론트엔드 번들 사이즈 줄이는 최적화 팁이 있나요?,coding
팀원 칭찬 멘트 예시 알려줘,daily
고객 데이터 접근 로그 보관 정책은 무엇인가요?,company
요즘 유행하는 취미 뭐야?,daily
분산 트레이싱(OpenTelemetry) 도입 절차와 예시,coding
출장 신청부터 정산까지 단계별 절차를 설명해 주세요,company
간단한 파티 게임 아이디어,daily
쿠버네티스에서 네트워크 폴리시의 역할은?,IT
Secret 관리 시 HashiCorp Vault 활용 방법은?,IT
장애 발생 시 포스트모템 작성 가이드가 있나요?,company
오늘 일정 간단히 정리해 줄래?,daily
Blue-Green 배포와 Canary 배포의 차이점은?,IT
교육비 지원 대상과 신청 방법을 알려주세요,company
