,id,title,original_title,release_date,overview,original_language,origin_country,genres,adult
862,862,Toy Story,Toy Story,1995-11-22,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",en,['US'],"['Animation', 'Adventure', 'Family', 'Comedy']",False
8844,8844,Jumanji,Jumanji,1995-12-15,"When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.",en,['US'],"['Adventure', 'Fantasy', 'Family']",False
15602,15602,Grumpier Old Men,Grumpier Old Men,1995-12-22,"A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile, a sultry Italian divorcée opens a restaurant at the local bait shop, alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max.",en,['US'],"['Romance', 'Comedy']",False
31357,31357,Waiting to Exhale,Waiting to Exhale,1995-12-22,"Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive ""good man"" to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo and Robin talk it all out, determined to find a better way to breathe.",en,['US'],"['Comedy', 'Drama', 'Romance']",False
11862,11862,Father of the Bride Part II,Father of the Bride Part II,1995-12-08,"Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife is expecting too. He was planning on selling their home, but that's a plan that—like George—will have to change with the arrival of both a grandchild and a kid of his own.",en,['US'],"['Comedy', 'Family']",False
949,949,Heat,Heat,1995-12-15,Obsessive master thief Neil McCauley leads a top-notch crew on various daring heists throughout Los Angeles while determined detective Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.,en,['US'],"['Crime', 'Drama', 'Action']",False
11860,11860,Sabrina,Sabrina,1995-12-15,"Sabrina Fairchild, a chauffeur's daughter, grew up at the Long Island estate of the wealthy Larrabee family enchanted with their sparkling world of privilege and wealth, but she's especially enamored of younger son David, a charming playboy. After the once plain Sabrina returns from a sojourn in Paris transformed into a glamorous young woman, she at long last catches David's eye. In a calculated effort to manipulate David away from her and into a more financially advantageous marriage, formidable older brother Linus devises a plan to keep them apart.",en,['US'],"['Romance', 'Drama']",False
45325,45325,Tom and Huck,Tom and Huck,1995-12-22,"A mischievous young boy, Tom Sawyer, witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn, a boy with no future and no family. Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder. Tom and Huck go through several adventures trying to retrieve evidence.",en,['US'],"['Family', 'Action', 'Adventure', 'Drama']",False
9091,9091,Sudden Death,Sudden Death,1995-10-27,When a man's daughter is suddenly taken during a championship hockey game – with the captors demanding a billion dollars by game's end – he frantically sets a plan in motion to rescue her and abort an impending explosion before the final buzzer.,en,['US'],"['Action', 'Drama', 'Thriller', 'Crime']",False
710,710,GoldenEye,GoldenEye,1995-11-16,"When a powerful satellite system falls into the hands of Alec Trevelyan, AKA Agent 006, a former ally-turned-enemy, only James Bond can save the world from a dangerous space weapon that -- in one short pulse -- could destroy the earth! As Bond squares off against his former compatriot, he also battles Xenia Onatopp, an assassin who uses pleasure as her ultimate weapon.",en,['GB'],"['Adventure', 'Action', 'Thriller']",False
