user_id,item_id,gender,age_group,category,device,hour,price,user_click_count,item_ctr,label
103,442,F,30s,food,tablet,16,307.88,7,0.16045252945620486,0
436,279,M,30s,electronics,mobile,11,248.56,6,0.5788257519888586,0
861,251,M,50s,food,mobile,12,417.74,5,0.20963719630113523,1
271,310,F,40s,fashion,tablet,16,389.2,4,0.12186026280715942,0
107,208,M,30s,electronics,tablet,19,367.97,10,0.06127712905203245,0
72,321,M,40s,sports,pc,14,447.49,6,0.15652703544985314,0
701,140,M,20s,electronics,pc,8,464.73,6,0.2639828935256058,0
21,280,M,30s,electronics,tablet,9,225.42,7,0.19856263533956822,0
615,34,F,20s,food,pc,5,145.0,5,0.10890929115953661,0
122,309,F,50s,electronics,pc,16,258.33,10,0.2600627654900911,0
467,392,M,10s,electronics,mobile,11,51.07,5,0.20057975610056977,1
215,18,F,50s,fashion,pc,23,469.39,6,0.20909857258113512,0
331,57,M,50s,food,pc,8,492.01,2,0.19999784880724888,0
459,112,M,50s,fashion,mobile,1,328.09,7,0.06156015312485715,1
88,5,F,30s,food,tablet,15,374.35,5,0.2240734599949051,0
373,410,F,20s,sports,pc,15,165.22,6,0.24704665501255074,0
100,414,M,30s,electronics,pc,21,433.8,3,0.1923344883414309,0
872,182,M,10s,food,tablet,22,450.65,5,0.15671566937954087,0
664,13,M,50s,electronics,pc,0,43.07,5,0.1945535127269868,0
131,339,M,40s,electronics,tablet,20,70.06,12,0.4124991206919206,1
662,285,F,10s,book,mobile,10,134.12,8,0.04620040346446757,0
309,259,F,20s,fashion,tablet,20,353.32,5,0.20989581450319972,0
770,90,M,10s,food,tablet,2,95.77,1,0.1689398526422582,1
344,104,M,30s,sports,tablet,1,113.94,4,0.07932489431470943,0
492,379,F,40s,book,mobile,13,194.02,6,0.1158417441148359,0
414,186,M,30s,fashion,tablet,0,307.76,5,0.1448743113605627,0
806,250,F,50s,sports,tablet,5,488.27,7,0.16436542188818523,0
386,255,M,50s,sports,mobile,6,393.03,2,0.10246132529570033,0
192,76,F,10s,electronics,pc,1,281.36,8,0.29266583732475854,0
956,386,M,50s,fashion,pc,1,29.45,6,0.14483866980056515,0
277,459,M,50s,book,tablet,14,260.84,3,0.0916237521236955,0
161,108,M,20s,food,mobile,20,106.02,3,0.08839150583001903,0
460,156,F,20s,food,mobile,4,153.53,5,0.10952468955908001,0
314,82,F,30s,book,tablet,12,129.18,4,0.19075077645556257,0
22,77,M,30s,electronics,tablet,18,176.99,5,0.31582220588670795,0
253,485,M,20s,electronics,pc,18,35.82,3,0.1430661986270743,1
748,470,M,10s,sports,pc,14,290.53,5,0.5234884634521699,1
857,460,M,20s,fashion,tablet,0,27.65,3,0.059109781793858625,0
561,258,F,30s,sports,mobile,2,331.99,6,0.25326138199343134,0
475,127,F,40s,food,tablet,17,366.75,4,0.029430054624045993,0
59,485,F,50s,book,mobile,16,245.6,2,0.3839371847598049,0
511,391,M,40s,fashion,pc,20,391.72,4,0.11553152825843037,0
682,282,M,40s,book,tablet,7,483.86,7,0.25284117553508584,1
476,474,F,50s,fashion,mobile,10,173.33,9,0.25092467641685684,0
700,88,M,20s,food,pc,19,311.36,7,0.05754831471804759,0
976,204,F,10s,food,tablet,7,165.25,9,0.20016560845912668,0
783,16,F,40s,fashion,tablet,20,224.48,2,0.16131308831535343,1
190,151,F,10s,electronics,pc,5,15.31,8,0.14767484712068926,1
958,424,F,30s,fashion,tablet,5,41.8,5,0.043830917159997866,0
687,254,M,40s,food,pc,5,399.78,7,0.04981354448675656,0
958,188,F,30s,book,mobile,1,74.25,3,0.18800701608760428,1
563,329,M,20s,sports,tablet,9,351.08,3,0.032413999232372794,0
876,32,F,40s,book,pc,9,355.89,11,0.05540476383680725,0
567,271,F,30s,food,pc,8,498.13,5,0.18924577618768204,0
244,485,F,30s,book,mobile,22,349.32,4,0.09922561110694722,0
832,397,F,20s,electronics,tablet,2,68.73,7,0.36406034203017257,1
505,5,M,10s,electronics,pc,1,315.14,8,0.1853424525299921,1
131,459,M,10s,fashion,pc,3,264.45,1,0.3391363223039523,0
485,330,M,40s,book,pc,7,459.11,5,0.11850016569355612,0
819,308,M,20s,book,tablet,8,346.62,4,0.13281876059663705,0
647,333,F,40s,food,tablet,1,261.65,4,0.3987062944158354,0
21,169,M,10s,fashion,mobile,15,313.99,2,0.2997860708254849,0
841,181,M,20s,fashion,mobile,5,224.51,7,0.1161774456891794,1
167,366,F,50s,book,mobile,7,256.66,9,0.11629462436885843,1
274,178,M,20s,sports,tablet,2,362.56,13,0.2556255490954333,0
388,143,M,20s,book,pc,10,43.78,6,0.4744758714740699,0
601,362,M,50s,book,tablet,19,309.59,7,0.29814841607425796,0
316,248,M,30s,book,tablet,4,48.67,4,0.1891168366788112,0
14,127,F,30s,electronics,tablet,11,428.26,4,0.11723656986590145,0
242,263,F,30s,fashion,mobile,22,471.52,5,0.2802147738026244,0
777,40,M,10s,electronics,pc,10,391.2,2,0.35864665000468116,0
346,412,F,20s,sports,tablet,4,360.43,4,0.2412593853182935,1
565,416,M,50s,food,mobile,19,472.15,2,0.3556919956732939,0
898,355,M,10s,sports,tablet,19,113.17,6,0.1838023525879254,0
340,255,M,50s,fashion,pc,20,118.27,8,0.08468039349017635,0
92,143,F,10s,food,mobile,2,243.1,4,0.22375535152692544,0
367,240,F,10s,sports,tablet,8,8.69,3,0.1728153897816373,0
956,228,F,10s,fashion,mobile,17,482.71,1,0.07929266604631353,0
455,341,F,50s,sports,pc,11,20.96,6,0.02724048928887466,0
428,198,F,40s,food,pc,22,300.08,7,0.3927972633183075,0
509,65,F,10s,food,mobile,3,180.22,7,0.5565535714567831,0
776,388,M,30s,sports,tablet,23,55.97,1,0.29717855956716205,0
943,11,F,20s,electronics,pc,6,17.18,5,0.1461770323198937,1
35,108,M,40s,sports,pc,23,134.9,5,0.10670274147956048,0
206,26,M,40s,sports,tablet,19,57.81,3,0.09089559050505039,0
81,445,F,50s,sports,mobile,10,470.46,0,0.1791673007504094,0
932,421,M,40s,electronics,mobile,1,126.16,3,0.30499562444612865,1
562,151,M,50s,book,tablet,22,51.6,4,0.3631855924539578,0
872,221,M,50s,food,pc,11,385.99,9,0.15832564985740466,1
388,341,F,30s,fashion,pc,8,210.05,4,0.1522967426141382,0
2,496,F,10s,food,tablet,5,422.61,2,0.1023848449510124,0
390,237,M,40s,food,tablet,6,420.02,4,0.12071220332909527,0
566,237,F,10s,book,mobile,5,496.23,7,0.10888655967524381,0
106,497,M,10s,food,mobile,17,402.89,10,0.3216637936793979,0
772,219,F,10s,food,tablet,12,111.01,5,0.11089152945727573,0
822,487,M,50s,electronics,pc,8,295.29,8,0.06190763123829982,0
477,424,M,10s,electronics,mobile,20,265.49,1,0.22166107991800676,0
703,461,F,40s,electronics,tablet,18,256.55,4,0.3088329791189567,1
402,151,F,50s,electronics,pc,3,151.92,7,0.2707325964269733,0
730,123,F,40s,electronics,mobile,3,109.02,5,0.22456824313969628,1
556,144,F,50s,fashion,tablet,12,359.86,7,0.11648500454310705,0
162,478,F,20s,book,tablet,10,55.37,3,0.11535248056390823,0
202,189,M,20s,sports,pc,20,29.56,3,0.11814547333327731,0
958,255,M,20s,electronics,pc,1,193.72,4,0.3444607600753463,1
996,68,M,20s,book,tablet,5,373.24,6,0.22116008490320854,0
270,104,F,50s,sports,pc,11,434.92,6,0.24837876876525225,0
863,336,F,10s,food,tablet,22,272.36,6,0.16206290282621183,0
816,159,M,30s,food,pc,7,420.77,8,0.09820612074275835,0
271,309,M,30s,book,pc,4,17.52,5,0.08940516253463701,0
456,362,M,20s,fashion,mobile,23,230.41,5,0.07890046108058729,0
462,409,M,10s,fashion,mobile,23,71.03,6,0.23300963514609635,0
727,300,F,40s,book,pc,19,293.45,5,0.08403767432237562,0
252,396,M,10s,fashion,tablet,22,460.89,5,0.19466481146157869,0
702,90,F,40s,fashion,pc,8,8.56,4,0.15595011775520146,0
296,357,M,30s,food,mobile,3,335.77,5,0.4488530749913007,0
725,256,F,10s,fashion,tablet,8,397.21,7,0.3737397121790106,0
720,496,F,10s,fashion,pc,11,373.52,3,0.09658973667814517,0
749,353,F,30s,book,pc,3,14.79,7,0.20947276548817226,0
338,220,F,10s,fashion,pc,16,91.07,8,0.09130402431771481,0
879,9,M,40s,electronics,pc,19,51.73,4,0.11896749212508864,1
53,12,M,10s,electronics,mobile,1,47.3,5,0.1288260639656536,0
792,325,M,40s,book,mobile,21,366.44,7,0.2868794728078378,0
922,438,F,20s,electronics,mobile,12,215.27,2,0.35638531420448394,1
217,244,M,10s,food,mobile,14,363.79,5,0.17397984609611147,0
764,182,M,40s,book,tablet,7,183.57,3,0.4776907175640097,0
188,284,M,30s,fashion,tablet,5,62.94,7,0.35349285680777015,0
380,312,F,20s,electronics,tablet,8,360.63,4,0.39364449355037706,0
493,99,F,10s,food,pc,21,314.9,1,0.028541866846980027,0
41,197,F,40s,book,tablet,10,60.92,9,0.04892928007783195,0
157,482,M,10s,book,mobile,22,462.56,6,0.5106977753860502,0
15,366,M,40s,fashion,mobile,11,157.92,1,0.20302148030137016,0
813,226,M,10s,sports,pc,20,329.09,3,0.02075483523552738,0
65,333,F,20s,electronics,tablet,23,20.83,2,0.4470668807879427,0
857,103,M,20s,food,pc,1,224.31,3,0.09346232902964968,0
839,106,F,10s,book,pc,1,482.36,10,0.1236175569778985,0
521,365,F,10s,electronics,tablet,10,443.82,3,0.2133462634420122,0
344,368,F,50s,food,pc,7,114.57,1,0.3014320511182135,0
129,58,F,10s,food,tablet,5,440.17,0,0.05698495615999765,0
648,78,M,10s,book,tablet,17,150.07,4,0.20053107231820064,0
472,75,M,20s,electronics,pc,21,426.86,5,0.2713188756959372,0
63,42,F,10s,food,mobile,10,365.97,4,0.2674308516415021,0
139,422,M,30s,book,tablet,23,179.27,2,0.08680556122156462,0
499,324,F,10s,electronics,mobile,5,455.84,4,0.174403391773192,0
593,181,M,50s,electronics,mobile,8,245.21,4,0.3004022461994387,0
392,33,M,40s,book,tablet,21,162.26,4,0.2697684783925176,0
675,71,F,20s,electronics,mobile,13,143.44,3,0.22622923142044282,0
419,56,F,30s,sports,pc,18,469.84,4,0.2329009352456467,0
289,105,F,40s,food,pc,20,380.5,4,0.05716858890530432,1
379,200,F,30s,food,mobile,5,178.2,9,0.20686446988700574,0
773,101,M,20s,electronics,pc,19,130.81,5,0.1739871442077261,1
490,256,F,50s,book,tablet,18,109.75,5,0.1320923753100736,0
231,307,M,20s,fashion,tablet,9,126.02,4,0.23848696127553326,0
41,74,F,30s,electronics,mobile,13,59.93,6,0.1906756493044128,0
28,171,M,30s,fashion,pc,4,244.94,3,0.24726175603105477,0
135,377,F,20s,electronics,mobile,11,25.33,6,0.12768557883555218,0
201,143,M,10s,fashion,pc,18,10.7,5,0.1779034058138934,0
840,166,M,20s,electronics,tablet,1,310.95,3,0.354908432498572,1
780,399,M,50s,book,pc,14,48.8,6,0.12698208519713736,0
930,261,F,20s,fashion,pc,5,423.38,9,0.18777208512757518,0
33,221,F,40s,sports,mobile,7,57.83,3,0.045303901885974524,1
48,83,F,10s,book,tablet,13,273.62,6,0.23762313151702455,0
503,182,F,40s,electronics,pc,2,339.37,9,0.1120698961973372,0
407,307,M,20s,fashion,tablet,5,118.43,1,0.1403558944141139,0
574,10,M,10s,food,pc,10,444.69,5,0.19395266361465813,0
728,396,M,40s,book,tablet,8,243.29,9,0.14128274266920796,0
805,4,F,40s,fashion,pc,16,161.08,9,0.21102550367642808,0
99,351,M,10s,book,tablet,18,451.06,6,0.19145368056783646,0
684,402,M,10s,fashion,pc,1,429.88,5,0.05917116695383291,0
872,336,F,30s,food,tablet,7,356.27,3,0.05121124964192034,0
726,488,F,10s,sports,pc,9,148.79,7,0.4021360919791792,0
987,292,M,20s,food,pc,21,198.15,11,0.09471588256243695,0
547,281,F,50s,electronics,tablet,2,346.42,5,0.35781563812410955,1
961,215,F,30s,book,mobile,9,96.72,5,0.2521763342420004,0
739,460,F,10s,sports,pc,23,250.08,11,0.29113255323122,0
613,98,F,50s,book,pc,22,370.17,7,0.13156721499375104,0
943,420,M,30s,fashion,mobile,1,330.57,7,0.5941913461242202,0
462,101,M,20s,electronics,pc,6,361.37,2,0.33795856800136354,1
643,451,M,50s,electronics,tablet,0,446.5,4,0.025687751842704203,1
769,9,M,10s,book,mobile,23,484.3,9,0.4101280613576772,0
5,61,M,10s,electronics,pc,11,231.9,2,0.06581621946050455,0
218,309,F,20s,book,tablet,4,34.69,5,0.17388389826976525,0
503,146,M,30s,fashion,tablet,8,418.0,7,0.029011648967209685,0
767,427,M,50s,fashion,mobile,11,63.39,4,0.38114841359946405,0
398,419,F,20s,book,mobile,10,113.62,2,0.289178575501545,0
871,63,F,30s,food,mobile,11,328.32,7,0.27330213598666603,1
795,121,F,40s,food,tablet,2,374.14,1,0.39902466538579145,0
393,226,M,40s,fashion,pc,11,348.85,5,0.14975238161471627,0
207,105,F,30s,sports,tablet,22,222.05,5,0.24361462250622087,0
15,462,F,10s,food,tablet,23,459.44,4,0.21843078281946418,0
858,260,F,10s,book,mobile,0,416.94,5,0.2900605127353462,1
554,349,M,40s,fashion,pc,5,333.52,6,0.4006564836137169,0
892,425,F,10s,electronics,tablet,10,223.33,8,0.2930947734560423,0
461,255,F,10s,electronics,mobile,1,234.59,4,0.14434445360081252,0
